keyword,search_num,score
空气净化器,1,0.0
彪马女鞋,56,12.51
索尼头戴式耳机,2,0.0
阿迪女,4,3.68
惠普envy15,3,0.58
华米,5,0.0
耳麦,11,10.13
女人衣服,1,1.73
悦诗风,4,3.49
55寸电视,1,1.0
sanxing s7,3,2.07
屏保,4,0.0
阿玛尼男士手表,8,3.54
立式空调,18,1.58
拖鞋,117,4.17
山东联通,7,0.0
144hz显示器,5,0.0
杜兰特8代,10,4.51
音响,57,16.66
vans17,1,0.0
明基,9,6.69
小冰箱,15,24.72
凉鞋男耐克,1,2.0
iPhone6s plus,8,1.5
乔丹,27,9.29
清仓,1,5.57
古驰,15,2.89
吉他虫,1,0.0
清风跑鞋,2,3.7
达尔优机械键盘,4,5.84
手环,89,4.51
VR,9,1.6
耐克低帮休闲板鞋,2,4.58
AJ男鞋,5,6.19
全自动洗衣机,3,0.67
卡西欧相机,19,3.66
iPhone 7 手机壳,2,4.64
阿迪达斯篮球球鞋,2,3.27
男士长款钱包,13,22.95
话费卡,52,1.65
男背包,7,4.3
nike sock dart,7,5.39
小羊皮 纪梵希,2,3.04
mac定妆粉饼,1,3.74
持久bb霜,2,2.42
一加3,8,1.58
女上衣夏,1,2.0
饺子,3,6.86
二手iPhone7,2,1.85
户外运动,2,6.11
哈伦裤,11,6.22
乐视2,8,0.62
办公笔记本,1,0.0
罗兰,2,3.43
819474-106,2,0.0
A10 cpu,2,2.06
便携式打印机,1,0.0
耐克拖鞋,141,3.25
戴尔微边框,4,0.0
网络电视盒子,1,3.32
墨镜男,3,6.02
iTouch,2,0.0
美图M8,55,0.34
oppoR9,5,1.85
air jordan,7,1.31
cpb妆前乳,1,0.0
话费 天津,2,0.0
安踏短裤男,2,4.01
7,30,0.39
破壁机,1,1.41
陕西移动话费,1,1.0
oppo r11 plus,2,0.0
悦,1,0.0
魅族note5,12,0.0
lab,2,2.28
ck,25,5.86
6d,3,0.0
男装9分裤,2,2.47
iPhone 6p,2,2.0
iphone  se,4,0.71
TissOT,1,8.12
耐克男T,8,7.87
爱马仕小样香水套装,1,0.0
黑卡3,1,3.46
三叶草,248,18.31
赛睿鼠标,2,2.0
资生堂发膜,3,0.0
液晶电视,5,2.24
QCY,2,1.41
格力变频空调,6,2.1
滑板车,19,1.89
奥克斯大一匹空调,2,2.24
耐克 跑鞋,2,6.72
卷发棒,2,0.5
空军一号小麦色,3,0.0
眼镜文艺,1,0.0
fe,1,1.41
情侣戒指,5,15.64
浪琴手表,1,2.0
太阳能充电宝,5,0.37
啦啦包包,2,1.41
三叶草贝壳,7,3.95
6s,138,0.32
hyperdunk,1,0.0
代步滑板,4,3.66
琼斯维格短裙,5,8.07
手串女,1,3.0
休闲长裤,2,3.06
尼康D750,6,1.22
防晒冰袖,1,2.0
玛丽珍鞋,2,2.73
迪奥857,3,1.89
sum,2,1.41
iPhone 6sp,6,0.0
v9,10,0.86
耐克男短裤,1,5.2
瘦脸,5,2.92
香奈儿香水,24,2.13
爱华仕,2,3.33
dw女表,2,1.73
HTC,22,1.74
香奈儿五号香水,1,0.0
苹果充电器,4,1.13
电动单车,2,5.7
DC,38,7.7
巴宝丽包,1,4.0
安踏鞋,12,8.06
ysl斩男色,1,0.0
二手vivo,1,3.0
外星人电脑,2,1.0
面膜,117,5.31
oppor7,6,0.0
aj鞋,11,2.96
雅萌,4,1.12
手提包男,1,2.83
遮阳伞,10,5.4
山地车26,3,5.35
小电饭煲,1,1.73
兰芝隔离,1,0.0
全机械腕表,5,7.86
耐克板鞋 小白鞋,1,1.41
网易一卡通,4,0.0
189697,3,1.41
上海,2,1.0
佳能80,8,0.0
苹果6,291,0.9
上海话费,1,0.0
映众显卡,7,0.96
跑步机,34,1.34
西藏,1,0.0
oppor9splusVR,3,0.82
男士金戒指,1,0.0
i7 1060,4,8.8
Thinkpad t,1,4.24
香奈儿衣,2,7.02
胸包男士,2,2.93
重低音耳机,2,3.6
OppoR11,2,1.41
前男友面膜,1,1.0
iwatch,83,1.09
席梦思床,1,0.0
甘肃电信,2,1.73
索尼相机,4,3.37
空军1号,4,5.18
雅诗兰黛粉底,7,0.82
黑武士,2,2.66
定妆粉,10,1.06
成人,3,5.28
飞科剃须刀,6,2.47
手机投影仪,2,3.11
U盘,31,2.03
迪奥气垫,3,0.58
kate粉底,5,9.9
扬子,7,0.38
套装女,1,3.16
boylondon,1,0.0
化妆品,2,2.13
儿童手,1,1.41
花花公子男鞋,24,14.93
李宁休闲鞋,15,26.49
马克香水,2,4.56
zuk2,1,1.0
bb8346,3,2.16
ysl,89,3.04
云学,4,0.0
pro10.5,2,0.0
机顶盒,4,5.38
puma鞋,6,11.99
iphone5c,1,1.41
卡西欧G,5,1.39
DW表带,3,3.44
落地扇,1,1.41
多功能双肩包,2,2.92
匹克篮球鞋男鞋新款秋季耐磨,1,3.46
Adidas金标贝壳头,2,0.0
折叠床,10,2.0
雷朋3561,2,8.84
温碧泉,1,1.0
